month,avg_price,min_price,max_price,price_std,avg_volume,total_volume,ticker
2024-02,182.14,180.75,184.37,1.32,63039116.67,378234700,AAPL
2024-03,172.7,169.0,179.66,2.89,71639140.0,1432782800,AAPL
2024-04,169.6,165.0,176.55,2.77,56623500.0,1245717000,AAPL
2024-05,186.29,169.3,192.35,6.01,60751713.64,1336537700,AAPL
2024-06,206.26,193.12,216.67,8.42,90736026.32,1723984500,AAPL
2024-07,224.6,216.75,234.82,5.63,52413627.27,1153099800,AAPL
2024-08,221.64,207.23,229.79,6.81,51030318.18,1122667000,AAPL
2024-09,223.76,216.32,233.0,4.28,61607015.0,1232140300,AAPL
2024-10,230.06,221.69,236.48,3.8,40466782.61,930736000,AAPL
2024-11,227.81,222.01,237.33,4.41,44582030.0,891640600,AAPL
2024-12,249.32,239.59,259.02,5.42,46567433.33,977916100,AAPL
2025-01,234.59,222.64,245.0,7.47,60014585.0,1200291700,AAPL
2025-02,237.01,227.63,245.83,7.2,44316714.29,620434000,AAPL
2024-02,139.89,136.38,144.09,3.32,35481383.33,212888300,GOOGL
2024-03,142.45,131.4,150.93,7.05,33630295.0,672605900,GOOGL
2024-04,157.19,150.53,171.95,4.67,29975954.55,659471000,GOOGL
2024-05,172.0,163.86,177.85,3.86,24654854.55,542406800,GOOGL
2024-06,177.78,173.17,185.41,3.66,24267910.53,461090300,GOOGL
2024-07,180.59,167.0,191.18,7.73,23914922.73,526128300,GOOGL
2024-08,163.58,158.29,170.76,3.03,25033613.64,550739500,GOOGL
2024-09,158.19,148.66,165.85,5.14,26630830.0,532616600,GOOGL
2024-10,165.4,161.86,174.46,3.03,24752569.57,569309100,GOOGL
2024-11,173.58,164.76,181.62,5.15,26499530.0,529990600,GOOGL
2024-12,186.78,171.34,196.66,9.23,30743342.86,645610200,GOOGL
2025-01,195.34,189.43,204.02,3.88,25018775.0,500375500,GOOGL
2025-02,188.28,179.66,206.38,7.28,30997628.57,433966800,GOOGL
2024-02,409.73,407.48,413.64,2.58,19910916.67,119465500,MSFT
2024-03,416.79,402.09,429.37,8.3,21317480.0,426349600,MSFT
2024-04,413.26,389.33,427.93,10.99,20035350.0,440777700,MSFT
2024-05,417.54,394.94,430.52,10.17,18809127.27,413800800,MSFT
2024-06,438.34,413.52,452.85,12.84,18019494.74,342370400,MSFT
2024-07,445.34,418.35,467.56,16.12,20020418.18,440449200,MSFT
2024-08,412.53,395.15,424.8,8.24,20541772.73,451919000,MSFT
2024-09,424.23,401.7,438.69,11.52,18846060.0,376921200,MSFT
2024-10,419.75,406.35,432.53,6.53,19162847.83,440745500,MSFT
2024-11,418.94,408.46,427.99,5.68,22116060.0,442321200,MSFT
2024-12,439.41,421.5,454.46,8.69,20947733.33,439902400,MSFT
2025-01,428.4,414.99,447.2,11.26,23128135.0,462562700,MSFT
2025-02,411.61,408.21,416.13,2.62,21639221.43,302949100,MSFT
